Date,AAPL,MSFT
2018-01-02,40.38100051879883,79.19833374023438
2018-01-03,40.373966217041016,79.56689453125
2018-01-04,40.561500549316406,80.26722717285156
2018-01-05,41.023319244384766,81.26238250732422
2018-01-08,40.87092590332031,81.34529876708984
2018-01-09,40.86623001098633,81.29002380371094
2018-01-10,40.85686111450195,80.92144012451172
2018-01-11,41.088932037353516,81.16099548339844
2018-01-12,41.513240814208984,82.5616226196289
2018-01-16,41.30226516723633,81.4098129272461
2018-01-17,41.98442077636719,83.05919647216797
2018-01-18,42.02193069458008,83.0223388671875
2018-01-19,41.83439636230469,82.93017578125
2018-01-22,41.49213790893555,84.41373443603516
2018-01-23,41.50151824951172,84.68095397949219
2018-01-24,40.84046173095703,84.60720825195312
2018-01-25,40.11143112182617,85.07715606689453
2018-01-26,40.20518112182617,86.67127227783203
2018-01-29,39.37299346923828,86.54225158691406
2018-01-30,39.14093017578125,85.45494842529297
2018-01-31,39.248756408691406,87.54663848876953
2018-02-01,39.33079147338867,86.85556030273438
2018-02-02,37.62423324584961,84.57036590576172
2018-02-05,36.684207916259766,81.08729553222656
2018-02-06,38.21731185913086,84.15570831298828
2018-02-07,37.39918518066406,82.57081604003906
2018-02-08,36.370094299316406,78.33218383789062
2018-02-09,36.81495666503906,81.25315856933594
2018-02-12,38.29780960083008,82.1285400390625
2018-02-13,38.681480407714844,82.7735595703125
2018-02-14,39.394649505615234,84.06961059570312
2018-02-15,40.71745681762695,85.78231048583984
2018-02-16,40.585636138916016,85.17131805419922
2018-02-20,40.449134826660156,85.83785247802734
2018-02-21,40.26553726196289,84.69915008544922
2018-02-22,40.60212326049805,84.92135620117188
2018-02-23,41.30824661254883,87.07841491699219
2018-02-26,42.125,88.33747100830078
2018-02-27,41.98847961425781,87.20802307128906
2018-02-28,41.9249267578125,86.80992126464844
2018-03-01,41.19057083129883,85.95819091796875
2018-03-02,41.475364685058594,86.14336395263672
2018-03-05,41.61894989013672,86.68955993652344
2018-03-06,41.58363723754883,86.39331817626953
2018-03-07,41.1976203918457,86.89324951171875
2018-03-08,41.64719009399414,87.42094421386719
2018-03-09,42.362728118896484,89.37432861328125
2018-03-12,42.772274017333984,89.58723449707031
2018-03-13,42.36038589477539,87.40241241455078
2018-03-14,42.00023651123047,86.88396453857422
2018-03-15,42.04967498779297,87.18950653076172
2018-03-16,41.90139389038086,87.57831573486328
2018-03-19,41.26118850708008,85.9952392578125
2018-03-20,41.247047424316406,86.21743774414062
2018-03-21,40.31260681152344,85.61569213867188
2018-03-22,39.743003845214844,83.12533569335938
2018-03-23,38.82269287109375,80.70906066894531
2018-03-26,40.66567611694336,86.81918334960938
2018-03-27,39.62296676635742,82.82909393310547
2018-03-28,39.1851692199707,82.7550277709961
2018-03-29,39.49114227294922,84.49547576904297
2018-04-02,39.232242584228516,81.9495849609375
2018-04-03,39.63473129272461,83.05128479003906
2018-04-04,40.392642974853516,85.476806640625
2018-04-05,40.67273712158203,85.52308654785156
2018-04-06,39.63238525390625,83.53269958496094
2018-04-09,40.02545166015625,84.03260040283203
2018-04-10,40.77865982055664,85.98599243164062
2018-04-11,40.5880012512207,85.04168701171875
2018-04-12,40.98813247680664,86.63401794433594
2018-04-13,41.12699890136719,86.17113494873047
2018-04-16,41.38356399536133,87.18024444580078
2018-04-17,41.95317840576172,88.939208984375
2018-04-18,41.85901641845703,89.28175354003906
2018-04-19,40.67273712158203,88.97623443603516
2018-04-20,39.00628662109375,87.9486312866211
2018-04-23,38.893310546875,88.27264404296875
2018-04-24,38.351951599121094,86.20817565917969
2018-04-25,38.51905059814453,85.45828247070312
2018-04-26,38.65322494506836,87.26355743408203
2018-04-27,38.20601272583008,88.707763671875
2018-04-30,38.898014068603516,86.57847595214844
2018-05-01,39.801856994628906,87.9486312866211
2018-05-02,41.56009292602539,86.5692367553711
2018-05-03,41.63542175292969,87.087646484375
2018-05-04,43.2689208984375,88.09675598144531
2018-05-07,43.58195877075195,89.07807159423828
2018-05-08,43.79145812988281,88.6985092163086
2018-05-09,44.099788665771484,89.74462127685547
2018-05-10,44.7305908203125,90.64262390136719
2018-05-11,44.56047058105469,90.44822692871094
2018-05-14,44.456512451171875,90.75371551513672
2018-05-15,44.05246353149414,90.096435546875
2018-05-16,44.463592529296875,90.32886505126953
2018-05-17,44.18241882324219,89.42699432373047
2018-05-18,44.021759033203125,89.5943374633789
2018-05-21,44.33363723754883,90.74727630615234
2018-05-22,44.22257614135742,90.65431213378906
2018-05-23,44.506134033203125,91.73284149169922
2018-05-24,44.456512451171875,91.40743255615234
2018-05-25,44.558109283447266,91.45392608642578
2018-05-29,44.39741897583008,91.12850952148438
2018-05-30,44.30291748046875,92.00249481201172
2018-05-31,44.15406036376953,91.90023040771484
2018-06-01,44.95033264160156,93.71330261230469
2018-06-04,45.32602310180664,94.53150177001953
2018-06-05,45.675724029541016,95.01500701904297
2018-06-06,45.83403396606445,95.2939453125
2018-06-07,45.71117401123047,93.79696655273438
2018-06-08,45.29530334472656,94.49433898925781
2018-06-11,45.18425750732422,93.95504760742188
2018-06-12,45.432350158691406,94.19679260253906
2018-06-13,45.05903244018555,93.76908874511719
2018-06-14,45.082645416259766,94.29907989501953
2018-06-15,44.61954116821289,93.09964752197266
2018-06-18,44.59590530395508,93.77838897705078
2018-06-19,43.87525177001953,93.77838897705078
2018-06-20,44.0666389465332,94.71745300292969
2018-06-21,43.8209114074707,94.03873443603516
2018-06-22,43.69331359863281,93.35997772216797
2018-06-25,43.043548583984375,91.4818115234375
